"";"param1_value";"param2_value";"final_prevalenceA";"final_prevalenceC";"final_prevalenceH";"total_spillovers";"final_hunters";"final_animals";"final_Ianimals";"param1_name";"param2_name"
"Sh...74";0,423076923076923;0,0153846153846154;5,36851100656413e-08;0,0205830977950052;0,980669132022402;1,93308679775977;98,0669132022402;411,292547413347;2,20802868624462e-05;"h";"lambda_base"
"Sh...75";0,435897435897436;0,0153846153846154;3,93933509285297e-08;0,0209866882358203;0,980474155433677;1,95258445663228;98,0474155433677;391,081359278773;1,54060058345693e-05;"h";"lambda_base"
"Sh...76";0,448717948717949;0,0153846153846154;2,89744742248621e-08;0,0213880146612505;0,980277660430506;1,97223395694952;98,0277660430505;370,977392691224;1,07488752139814e-05;"h";"lambda_base"
"Sh...77";0,461538461538462;0,0153846153846154;2,13670604187211e-08;0,0217872888256909;0,98007936454229;1,99206354577085;98,0079364542292;350,990324640183;7,4996316332184e-06;"h";"lambda_base"
"Sh...78";0,474358974358974;0,0153846153846154;1,58015903136973e-08;0,0221845807668022;0,979879790007198;2,01202099928007;97,9879790007199;331,13361470564;5,23243780135303e-06;"h";"lambda_base"
"Sh...79";0,487179487179487;0,0153846153846154;1,17229048391952e-08;0,022580204329835;0,979678923872329;2,03210761276701;97,967892387233;311,420101603234;3,65074825890459e-06;"h";"lambda_base"
"Sh...80";0,5;0,0153846153846154;8,72691090525816e-09;0,0229741770214633;0,979476376741221;2,05236232587784;97,9476376741222;291,866153617442;2,54708994110804e-06;"h";"lambda_base"
"Sh...81";0;0,0307692307692308;0,0120802353281525;0;0,975468635120525;2,45313648794765;97,5468635120524;1085,40040347533;13,2722238871382;"h";"lambda_base"
"Sh...82";0,0128205128205128;0,0307692307692308;0,00867251287688195;0,00224302288124675;0,976324681706943;2,36753182930586;97,6324681706941;1069,3223861827;9,35484215273845;"h";"lambda_base"
"Sh...83";0,0256410256410256;0,0307692307692308;0,00621918919995009;0,00409769506696268;0,977058497978744;2,29415020212581;97,7058497978742;1051,89364762371;6,58286570006407;"h";"lambda_base"
"Sh...84";0,0384615384615385;0,0307692307692308;0,00445617755482946;0,00565611928435762;0,977681037008989;2,23189629910145;97,7681037008985;1033,46700326238;4,6259264130468;"h";"lambda_base"
"Sh...85";0,0512820512820513;0,0307692307692308;0,00319117559702195;0,00698710557993663;0,978204579379048;2,17954206209492;97,8204579379051;1014,31267612271;3,24721228439312;"h";"lambda_base"
"Sh...86";0,0641025641025641;0,0307692307692308;0,00228444107283665;0,00814247538079666;0,978640212514035;2,13597874859636;97,8640212514036;994,620351654768;2,2773540643614;"h";"lambda_base"
"Sh...87";0,0769230769230769;0,0307692307692308;0,0016350019136066;0,00916127702345112;0,978998666352185;2,10013336478127;97,8998666352187;974,531544694476;1,59597035503;"h";"lambda_base"
"Sh...88";0,0897435897435897;0,0307692307692308;0,00117012956687762;0,0100729300735501;0,979289903062386;2,07100969376138;97,9289903062386;954,143619197626;1,11777960683798;"h";"lambda_base"
"Sh...89";0,102564102564103;0,0307692307692308;0,000837465833820047;0,0108999637070064;0,979522259190654;2,04777408093493;97,9522259190651;933,551059377873;0,782472410264983;"h";"lambda_base"
"Sh...90";0,115384615384615;0,0307692307692308;0,000599469908833423;0,0116594668923765;0,979703590119549;2,02964098804549;97,9703590119545;912,787703102226;0,547516981117717;"h";"lambda_base"
"Sh...91";0,128205128205128;0,0307692307692308;0,000429196008060465;0,0123646958988177;0,979840409269181;2,01595907308175;97,9840409269183;891,909426043852;0,382968333689555;"h";"lambda_base"
"Sh...92";0,141025641025641;0,0307692307692308;0,000307382671734406;0,0130258914857633;0,97993830336445;2,00616966355516;97,9938303364448;870,932851071815;0,267791981278392;"h";"lambda_base"
"Sh...93";0,153846153846154;0,0307692307692308;0,000220222564742884;0,0136509564052874;0,980002447286351;1,99975527136513;98,0002447286349;849,905291475627;0,187209550844743;"h";"lambda_base"
"Sh...94";0,166666666666667;0,0307692307692308;0,000157845725483149;0,0142461982089097;0,980037139041722;1,99628609582795;98,003713904172;828,823149521697;0,130846844948649;"h";"lambda_base"
"Sh...95";0,179487179487179;0,0307692307692308;0,000113188872276824;0,0148166574531269;0,980045876729427;1,99541232705712;98,0045876729429;807,711474359324;0,0914343002531156;"h";"lambda_base"
"Sh...96";0,192307692307692;0,0307692307692308;8,12116446391142e-05;0,0153661646846069;0,980031967909812;1,99680320901889;98,0031967909811;786,584786923578;0,0638850324027202;"h";"lambda_base"
"Sh...97";0,205128205128205;0,0307692307692308;5,83008085095289e-05;0,0158980511651143;0,979997833065835;2,0002166934166;97,9997833065834;765,450452454706;0,0446289821578368;"h";"lambda_base"
"Sh...98";0,217948717948718;0,0307692307692308;4,18799953129561e-05;0,0164148732714366;0,979946122337413;2,00538776625865;97,9946122337413;744,322938119301;0,031173546707752;"h";"lambda_base"
"Sh...99";0,230769230769231;0,0307692307692308;3,01050422388488e-05;0,0169186691881555;0,979878593874234;2,01214061257673;97,9878593874233;723,185378006094;0,0217721818038441;"h";"lambda_base"
"Sh...100";0,243589743589744;0,0307692307692308;2,16564456396867e-05;0,0174113360389794;0,979797202703571;2,02027972964315;97,9797202703569;702,07794154377;0,0152048420587013;"h";"lambda_base"
"Sh...101";0,256410256410256;0,0307692307692308;1,55911549057246e-05;0,0178942943647189;0,979703251111273;2,02967488887261;97,9703251111274;680,982802487823;0,0106174739004024;"h";"lambda_base"
"Sh...102";0,269230769230769;0,0307692307692308;1,12338876470325e-05;0,0183687852794237;0,979598327480767;2,04016725192342;97,9598327480766;659,925145971198;0,00741360822893386;"h";"lambda_base"
"Sh...103";0,282051282051282;0,0307692307692308;8,10172129360316e-06;0,0188358648728522;0,97948283436386;2,05171656361415;97,9482834363859;638,891601395428;0,00517616362716464;"h";"lambda_base"
